CountyName,2021,2022,2023
".Forsyth County, Georgia",252878,260721,267237
".Franklin County, Georgia",23468,23503,24128
".Fulton County, Georgia",1069370,1062531,1074634
".Gilmer County, Georgia",31428,32090,32407
".Glascock County, Georgia",2894,2906,2939
".Glynn County, Georgia",84471,84705,85079
".Gordon County, Georgia",57716,58253,58954
".Grady County, Georgia",26222,25879,26008
".Greene County, Georgia",19021,19553,20139
".Gwinnett County, Georgia",958005,965145,975353
".Habersham County, Georgia",46138,46740,47475
".Hall County, Georgia",203735,207393,212692
".Hancock County, Georgia",8708,8664,8387
".Haralson County, Georgia",30037,30579,31337
".Harris County, Georgia",34896,35605,36276
".Hart County, Georgia",25871,26340,26909
".Heard County, Georgia",11448,11529,11725
".Henry County, Georgia",241848,245023,248364
".Houston County, Georgia",164343,167156,169631
".Irwin County, Georgia",9650,9375,9126
".Jackson County, Georgia",76717,80317,83936
".Jasper County, Georgia",14666,15259,15951
".Jeff Davis County, Georgia",14799,14848,14889
".Jefferson County, Georgia",15678,15494,15314
".Jenkins County, Georgia",8666,8776,8689
".Johnson County, Georgia",9186,9034,9242
".Jones County, Georgia",28397,28409,28472
".Lamar County, Georgia",18551,18684,19467
".Lanier County, Georgia",9926,10052,10171
".Laurens County, Georgia",49544,49527,49660
".Lee County, Georgia",33215,33194,33642
".Liberty County, Georgia",65317,66844,68030
".Lincoln County, Georgia",7701,7750,7841
".Long County, Georgia",16269,17089,18348
".Lowndes County, Georgia",118415,118914,119739
".Lumpkin County, Georgia",33631,32890,34796
".McDuffie County, Georgia",21603,21636,21713
".McIntosh County, Georgia",10987,11051,11180
".Macon County, Georgia",12021,11832,11765
".Madison County, Georgia",30269,30883,31473
".Marion County, Georgia",7530,7426,7449
".Meriwether County, Georgia",20606,20715,20845
".Miller County, Georgia",5988,5886,5807
".Mitchell County, Georgia",21668,21266,21116
".Monroe County, Georgia",28055,28729,29427
".Montgomery County, Georgia",8574,8654,8655
".Morgan County, Georgia",20198,20654,21031
".Murray County, Georgia",40012,40032,40472
".Muscogee County, Georgia",206998,205024,202616
".Newton County, Georgia",112843,115318,117621
".Oconee County, Georgia",42013,43025,43588
".Oglethorpe County, Georgia",14867,15142,15469
".Paulding County, Georgia",169570,173921,178421
".Peach County, Georgia",28040,28245,28562
".Pickens County, Georgia",33339,33990,34826
".Pierce County, Georgia",19746,19975,20168
".Pike County, Georgia",18936,19534,19990
".Polk County, Georgia",42923,43332,43709
".Pulaski County, Georgia",9873,9582,9984
".Putnam County, Georgia",22163,22643,22984
".Quitman County, Georgia",2228,2236,2249
".Rabun County, Georgia",16914,17088,17206
".Randolph County, Georgia",6368,6253,6116
".Richmond County, Georgia",206526,205358,206640
".Rockdale County, Georgia",93644,93961,94984
".Schley County, Georgia",4534,4476,4496
".Screven County, Georgia",14078,14055,13977
".Seminole County, Georgia",9131,9142,9127
".Spalding County, Georgia",67455,67699,68919
".Stephens County, Georgia",26820,26765,26767
".Stewart County, Georgia",5304,4914,4648
".Sumter County, Georgia",29516,28978,28877
".Talbot County, Georgia",5726,5746,5747
".Taliaferro County, Georgia",1562,1560,1600
".Tattnall County, Georgia",24316,24132,24064
".Taylor County, Georgia",7819,7754,7737
".Telfair County, Georgia",12465,12330,12354
".Terrell County, Georgia",9138,8904,8754
".Thomas County, Georgia",45785,45815,45561
".Tift County, Georgia",41374,41123,41412
".Toombs County, Georgia",27081,26873,26837
".Towns County, Georgia",12545,12867,12972
".Treutlen County, Georgia",6396,6382,6365
".Troup County, Georgia",69323,69479,70191
".Turner County, Georgia",8983,8931,8842
".Twiggs County, Georgia",8011,7899,7680
".Union County, Georgia",24798,25560,26388
".Upson County, Georgia",27740,27673,28086
".Walker County, Georgia",67742,68405,68915
".Walton County, Georgia",97153,99808,103065
".Ware County, Georgia",36225,35547,35614
".Warren County, Georgia",5208,5214,5155
".Washington County, Georgia",19948,19766,19738
".Wayne County, Georgia",30145,30246,30896
".Webster County, Georgia",2352,2356,2328
".Wheeler County, Georgia",7447,7748,7314
".White County, Georgia",28108,28393,28806
".Whitfield County, Georgia",102776,102688,103132
".Wilcox County, Georgia",8792,8746,8761
".Wilkes County, Georgia",9556,9516,9599
".Wilkinson County, Georgia",8824,8791,8681
".Worth County, Georgia",20738,20557,20424
".Hawaii County, Hawaii",200712,203792,206315
".Honolulu County, Hawaii",1012305,1004673,995638
".Kalawao County, Hawaii",80,81,82
".Kauai County, Hawaii",73186,73791,73810
".Maui County, Hawaii",164760,164817,164351
".Ada County, Idaho",498260,512914,518907
".Adams County, Idaho",4425,4632,4817
".Bannock County, Idaho",87270,88349,89517
".Bear Lake County, Idaho",6367,6559,6722
".Benewah County, Idaho",9576,9941,10370
".Bingham County, Idaho",48106,48898,49923
".Blaine County, Idaho",24342,24767,24866
".Boise County, Idaho",7662,8121,8333
".Bonner County, Idaho",47402,49617,51414
".Bonneville County, Idaho",124716,128045,129496
".Boundary County, Idaho",12137,12635,13345
".Butte County, Idaho",2583,2650,2684
".Camas County, Idaho",1083,1129,1153
".Canyon County, Idaho",232998,243774,251065
".Caribou County, Idaho",7012,7110,7190
".Cassia County, Idaho",24760,25249,25655
".Clark County, Idaho",791,793,806
".Clearwater County, Idaho",8752,8917,9015
".Custer County, Idaho",4265,4434,4506
".Elmore County, Idaho",28669,28941,29403
".Franklin County, Idaho",14284,14676,15189
".Fremont County, Idaho",13414,13606,13978
".Gem County, Idaho",19274,19832,20418
".Gooding County, Idaho",15643,15725,15715
".Idaho County, Idaho",16588,17053,17593
".Jefferson County, Idaho",31077,32253,33428
".Jerome County, Idaho",24268,24745,25311
".Kootenai County, Idaho",172790,180146,183578
".Latah County, Idaho",39629,40397,40978
".Lemhi County, Idaho",7958,8136,8240
".Lewis County, Idaho",3528,3709,3763
".Lincoln County, Idaho",5129,5260,5329
".Madison County, Idaho",52929,54114,54976
".Minidoka County, Idaho",21666,21945,22194
".Nez Perce County, Idaho",42141,42509,43004
".Oneida County, Idaho",4562,4588,4712
".Owyhee County, Idaho",11994,12348,12613
".Payette County, Idaho",25583,26377,26956
".Power County, Idaho",7877,7959,8068
".Shoshone County, Idaho",13195,13659,14012
".Teton County, Idaho",11735,12294,12544
".Twin Falls County, Idaho",90361,92357,93696
".Valley County, Idaho",11842,12264,12464
".Washington County, Idaho",10559,10887,11087
".Adams County, Illinois",65612,65146,64725
".Alexander County, Illinois",5173,5032,4858
".Bond County, Illinois",16688,16633,16566
".Boone County, Illinois",53334,53199,53154
".Brown County, Illinois",6233,6443,6330
".Bureau County, Illinois",33172,32961,32828
".Calhoun County, Illinois",4404,4385,4360
".Carroll County, Illinois",15667,15674,15529
".Cass County, Illinois",12985,12798,12657
".Champaign County, Illinois",205629,206708,206542
".Christian County, Illinois",33950,33721,33436
".Clark County, Illinois",15423,15354,15229
".Clay County, Illinois",13271,13154,13047
".Clinton County, Illinois",36913,36886,36909
".Coles County, Illinois",46761,46809,46334
".Cook County, Illinois",5261249,5177606,5109292
".Crawford County, Illinois",18648,18691,18536
".Cumberland County, Illinois",10429,10343,10324
".DeKalb County, Illinois",100253,100472,100232
".De Witt County, Illinois",15450,15379,15310
".Douglas County, Illinois",19758,19740,19755
".DuPage County, Illinois",931244,926448,920901
".Edgar County, Illinois",16796,16589,16433
".Edwards County, Illinois",6208,6086,6071
".Effingham County, Illinois",34695,34531,34325
".Fayette County, Illinois",21483,21447,21305
".Ford County, Illinois",13517,13491,13249
".Franklin County, Illinois",37685,37498,37242
".Fulton County, Illinois",33488,33313,33021
".Gallatin County, Illinois",4938,4907,4855
".Greene County, Illinois",11936,11851,11651
".Grundy County, Illinois",52517,52929,53041
".Hamilton County, Illinois",7997,7923,7984
".Hancock County, Illinois",17547,17388,17244
".Hardin County, Illinois",3641,3650,3597
".Henderson County, Illinois",6334,6304,6151
".Henry County, Illinois",49172,48868,48419
".Iroquois County, Illinois",26977,26761,26473
".Jackson County, Illinois",52906,52666,52617
".Jasper County, Illinois",9240,9204,9212
".Jefferson County, Illinois",36998,36882,36400
".Jersey County, Illinois",21495,21370,21246
".Jo Daviess County, Illinois",22057,21932,21758
".Johnson County, Illinois",13322,13471,13381
".Kane County, Illinois",516141,516183,514182
".Kankakee County, Illinois",107250,106652,106074
".Kendall County, Illinois",132348,134948,137254
".Knox County, Illinois",49799,49347,48640
".Lake County, Illinois",713251,712160,709150
".LaSalle County, Illinois",109421,109139,108078
".Lawrence County, Illinois",15258,15216,14914
".Lee County, Illinois",34051,34166,33848
".Livingston County, Illinois",35779,35741,35521
".Logan County, Illinois",27899,27970,27591
".McDonough County, Illinois",27097,26848,26861
".McHenry County, Illinois",309886,311592,311747
".McLean County, Illinois",170954,171190,171141
".Macon County, Illinois",103756,102649,101483
